date,cases_new,tests_total,icu_covid,positivity_rate,positivity_rate_7d
2023-06-08,681,8561,21,0.07954678191800023,0.07437248913006576
2023-06-09,624,7708,17,0.08095485210171251,0.07425249079530438
2023-06-10,618,5587,13,0.11061392518346161,0.07324601975038002
2023-06-11,512,5457,13,0.09382444566611692,0.07530968701612997
2023-06-12,352,10208,19,0.034482758620689655,0.07229287359596805
2023-06-13,573,8391,19,0.06828745084018592,0.0767113908201066
2023-06-14,536,7376,16,0.07266811279826464,0.0771969038754902
2023-06-15,466,7477,14,0.062324461682492976,0.07473657241327489
2023-06-16,594,5561,17,0.10681532098543428,0.07843092511094943
2023-06-17,400,4204,15,0.09514747859181731,0.07622143274071454
2023-06-18,366,4691,15,0.07802174376465572,0.07396390389764863
2023-06-19,284,8629,18,0.03291227256924325,0.07373954874744203
2023-06-20,416,7829,18,0.05313577723847235,0.07157502394719721
2023-06-21,449,7053,15,0.06366085353750177,0.0702882726242311
2023-06-22,417,6778,15,0.06152257303039245,0.07017371710250245
2023-06-23,425,5231,14,0.0812464155993118,0.06652101633305638
2023-06-24,341,3623,16,0.0941208942865029,0.06637436143229718
2023-06-25,278,4893,19,0.056815859390966686,0.06334494937891302
2023-06-26,160,8178,18,0.019564685742235265,0.06143815126076903
2023-06-27,282,5957,15,0.047339264730569076,0.06061007804535428
2023-06-28,252,4626,15,0.054474708171206226,0.05929777156445491
2023-06-29,223,3185,14,0.07001569858712715,0.06051107521541702
2023-06-30,182,4541,8,0.040079277692138295,0.05463005551439223
2023-07-01,171,4001,11,0.0427393151712072,0.04728982992649284
2023-07-02,121,4471,9,0.02706329680161038,0.043039463842299085
2023-07-03,180,8121,12,0.02216475803472479,0.043410902741226165
2023-07-04,175,6860,8,0.025510204081632654,0.04029246550566381
2023-07-05,199,6488,12,0.030672009864364982,0.036892080033257925
2023-07-06,224,5517,7,0.04060177632771434,0.03269009113905609
2023-07-07,184,4837,6,0.038040107504651643,0.03239878111227228
2023-07-08,139,3447,9,0.04032492022048158,0.03205386754788291
2023-07-09,137,3939,9,0.03478040111703478,0.033156311021514964
2023-07-10,142,6458,8,0.02198823165066584,0.03313109296664941
2023-07-11,178,6394,7,0.027838598686268378,0.03346372076731165
2023-07-12,200,5960,6,0.03355704697986577,0.033875868926668905
2023-07-13,170,5310,4,0.032015065913371,0.03264919601033414
2023-07-14,202,4526,3,0.044631020768890854,0.0335907550480826
2023-07-15,173,2869,4,0.060299756012547924,0.0364443030183778
2023-07-16,140,3860,4,0.03626943005181347,0.03665702143763189
2023-07-17,122,6911,4,0.01765301692953263,0.036037705048898576
2023-07-18,156,5683,5,0.02745029033960936,0.03598223242794729
2023-07-19,159,3770,6,0.04217506631299735,0.03721337804696608
2023-07-20,123,5698,8,0.021586521586521586,0.03572358600027331
2023-07-21,129,4939,7,0.026118647499493823,0.03307896124750231
2023-07-22,129,3166,20,0.04074542008843967,0.03028548468691541
2023-07-23,96,3559,7,0.026973869064343917,0.02895754740299119
2023-07-24,102,6197,4,0.016459577214781345,0.028787056015169576
2023-07-25,139,5081,2,0.027356819523715804,0.028773703041470502
2023-07-26,171,4911,2,0.03481979230299328,0.02772294961146992
2023-07-27,177,4649,3,0.03807270380727038,0.03007811850014832
2023-07-28,119,3446,3,0.03453279164248404,0.03128013909200406
2023-07-29,130,3344,2,0.038875598086124404,0.03101302166310188
2023-07-30,58,3559,2,0.01629671255970778,0.029487713591011006
2023-07-31,65,5958,1,0.010909701242027526,0.02869487416633189
2023-08-01,117,4658,2,0.02511807642765135,0.028375053724036963
2023-08-02,117,4285,2,0.027304550758459743,0.027301447789103605
2023-08-03,104,4051,1,0.02567267341397186,0.025530014875775244
2023-08-04,129,4966,2,0.025976641159887234,0.024307707663975702
2023-08-05,105,2640,4,0.03977272727272727,0.024435868976347537
2023-08-06,73,3149,2,0.0231819625277866,0.025419476114644513
2023-08-07,57,5421,32,0.010514665190924184,0.025363042393058317
2023-08-08,67,4876,2,0.013740771123872026,0.023737713063946987
2023-08-09,97,4479,2,0.02165661978120116,0.022930865781481475
2023-08-10,109,4471,1,0.024379333482442405,0.022746102934120126
2023-08-11,106,3260,1,0.03251533742331288,0.02368020240032379
2023-08-12,73,2389,1,0.030556718292172456,0.022363629688815955
2023-08-13,77,2621,2,0.029378099961846624,0.02324879217939596
2023-08-14,75,5158,1,0.014540519581233036,0.02382391423515437
2023-08-15,106,4574,1,0.023174464363795364,0.025171584698000564
2023-08-16,131,4332,1,0.030240073868882732,0.026397792424812216
2023-08-17,94,3956,1,0.023761375126390292,0.026309512659661912
2023-08-18,113,3583,2,0.031537817471392685,0.026169866952244738
